theorem_name,id,verified,inference_time_sec,error_type,generated_tactics,ground_truth
AffineSubspace.perpBisector_ne_bot,2,False,42.4,forbidden_keyword,"```lean
open AffineSubspace
open Set
open scoped RealInnerProductSpace
variable {V P : Type*} [NormedAddCommGroup V] [InnerProductSpace ℝ V] [MetricSpace P]
variable [NormedAddTorsor V P]
variable [NormedAddTorsor V P]
variable {c c₁ c₂ p₁ p₂ : P}

theorem AffineSubspace.perpBisector_ne_bot : perpBisector p₁ p₂ ≠ ⊥ := by
  intro p₂.ne_bot.bind(λ p, rfl)
  rw [InnerProductSpace.perpBisector]
  ...
```","theorem AffineSubspace.perpBisector_ne_bot : perpBisector p₁ p₂ ≠ ⊥ := by
  rw [← nonempty_iff_ne_bot]; exact perpBisector_nonempty"
CategoryTheory.Functor.LeftExtension.IsPointwiseLeftKanExtensionAt.isIso_hom_app,3,False,31.64,forbidden_keyword,"```lean
@[simps]
def coconeAtFunctor (Y : D) :
    LeftExtension L F ⥤ Cocone (CostructuredArrow.proj L Y ⋙ F) where
  obj E := E.coconeAt Y
  map {E E'} φ := CoconeMorphism.mk (φ.right.app Y) (fun G => by
    dsimp
    rw [← StructuredArrow.w φ]
    simp)

theorem CategoryTheory.Functor.LeftExtension.IsPointwiseLeftKanExtensionAt.isIso_hom_app 
    {X : C} (h : E.IsPointwiseLeftKanExtensionAt (L.obj X)) [L.Full] [L.Faithful] :
    IsIso (E.hom.app X) := by
  rw [IsPointwiseLeftKanExtensionAt.hasPointwiseLeftKanExtensionAt h]
  exact (E.hom.app X).is_iso
```","theorem CategoryTheory.Functor.LeftExtension.IsPointwiseLeftKanExtensionAt.isIso_hom_app 
    {X : C} (h : E.IsPointwiseLeftKanExtensionAt (L.obj X)) [L.Full] [L.Faithful] :
    IsIso (E.hom.app X) := by
  simpa using h.isIso_ι_app_of_isTerminal _ CostructuredArrow.mkIdTerminal"
PrincipalSeg.topLTTop,4,False,31.55,forbidden_keyword,"```lean
import Mathlib.Logic.Equiv.Set
import Mathlib.Order.RelIso.Set
import Mathlib.Order.WellFounded
import Mathlib.Order.InitialSeg

open PrincipalSeg
variable {α : Type*} {β : Type*} {γ : Type*} {r : α → α → Prop} {s : β → β → Prop}
  {t : γ → γ → Prop}
open Function

theorem PrincipalSeg.topLTTop {r : α → α → Prop} {s : β → β → Prop} {t : γ → γ → Prop} [IsWellOrder γ t] (f : PrincipalSeg r s) (g : PrincipalSeg s t) (h : PrincipalSeg r t) : t h.top g.top := by
  intro e; lia; intro e; lia;
  rw [Subsingleton.elim f (PrincipalSeg.equivLT e g)]; rfl
```","theorem PrincipalSeg.topLTTop {r : α → α → Prop} {s : β → β → Prop} {t : γ → γ → Prop} [IsWellOrder γ t]
    (f : PrincipalSeg r s) (g : PrincipalSeg s t) (h : PrincipalSeg r t) : t h.top g.top := by
  rw [Subsingleton.elim h (f.trans g)]
  apply PrincipalSeg.lt_top"
CategoryTheory.ChosenFiniteProducts.lift_fst,5,False,34.29,forbidden_keyword,"```lean
import Mathlib.Logic.Equiv.Set
import Mathlib.Order.RelIso.Set
import Mathlib.Order.WellFounded
import Mathlib.Order.InitialSeg

open InitialSeg
variable {α : Type*} {β : Type*} {γ : Type*} {r : α → α → Prop} {s : β → β → Prop}
  {t : γ → γ → Prop}
open Function

theorem InitialSeg.eq [IsWellOrder β s] (f g : r ≼i s) (a) : f a = g a := by
  intro h. rewrite [Subsingleton.elim f g] using h. lia

theorem InitialSeg.eq [IsWellOrder β s] (f g : r ≼i s) (a) : f a = g a := by
  intro h. rewrite [Subsingleton.elim g h] using h. lia

rw [Subsingleton.elim f (PrincipalSeg.equivLT e g)]; rfl
```","theorem CategoryTheory.ChosenFiniteProducts.lift_fst {T X Y : C} (f : T ⟶ X) (g : T ⟶ Y) : lift f g ≫ fst _ _ = f := by
  simp [lift, fst]"
AffineSubspace.mem_perpBisector_iff_dist_eq',6,False,34.71,forbidden_keyword,"```lean
open AffineSubspace
open Set
open scoped RealInnerProductSpace
variable {V P : Type*} [NormedAddCommGroup V] [InnerProductSpace ℝ V] [MetricSpace P]
variable [NormedAddTorsor V P]
variable [NormedAddTorsor V P]
variable {c c₁ c₂ p₁ p₂ : P}

theorem AffineSubspace.mem_perpBisector_iff_dist_eq' : c ∈ perpBisector p₁ p₂ ↔ dist p₁ c = dist p₂ c := by
  (mono) ⟨c, p₁ p₂⟩ ⟨λ x, dist x p₁ p₂⟩
  (mono) ⟨p₁ c, p₂ c⟩ ⟨λ x, dist x p₁ p₂⟩
  (using Subsingleton.elim, normed_add_comm_group_add_torsor_iff_dist_eq, normed_add_torsor_add_torsor_iff_dist_eq)
```","theorem AffineSubspace.mem_perpBisector_iff_dist_eq' : c ∈ perpBisector p₁ p₂ ↔ dist p₁ c = dist p₂ c := by
  simp only [mem_perpBisector_iff_dist_eq, dist_comm]"
AffineSubspace.right_mem_perpBisector,7,False,33.77,forbidden_keyword,"```lean
open AffineSubspace
open Set
open scoped RealInnerProductSpace
variable {V P : Type*} [NormedAddCommGroup V] [InnerProductSpace ℝ V] [MetricSpace P]
variable [NormedAddTorsor V P]
variable [NormedAddTorsor V P]
variable {c c₁ c₂ p₁ p₂ : P}

theorem AffineSubspace.right_mem_perpBisector : p₂ ∈ perpBisector p₁ p₂ ↔ p₁ = p₂ := by
  (using Subsingleton.elim p₁ p₂ (1))
  (using Subsingleton.elim p₂ p₁ (2))
  (using equiv_intro (InnerProductSpace.perpBisector ℝ V) (InnerProductSpace.perpBisector ℝ V))
```","theorem AffineSubspace.right_mem_perpBisector : p₂ ∈ perpBisector p₁ p₂ ↔ p₁ = p₂ := by
  simpa [mem_perpBisector_iff_inner_eq_inner] using eq_comm"
CategoryTheory.ChosenFiniteProducts.lift_snd,8,False,2.77,forbidden_keyword,"```lean
import Mathlib.Logic.Equiv.Set
import Mathlib.Order.RelIso.Set
import Mathlib.Order.WellFounded
import Mathlib.Order.InitialSeg

open InitialSeg
variable {α : Type*} {β : Type*} {γ : Type*} {r : α → α → Prop} {s : β → β → Prop}
  {t : γ → γ → Prop}
open Function

theorem InitialSeg.eq [IsWellOrder β s] (f g : r ≼i s) (a) : f a = g a := by
  intro h. rewrite [Subsingleton.elim f g] using h. lia

theorem InitialSeg.eq [IsWellOrder β s] (f g : r ≼i s) (a) : f a = g a := by
  intro h. rewrite [Subsingleton.elim g] using h. lia

rw [Subsingleton.elim f (PrincipalSeg.equivLT e g)]; rfl
```","theorem CategoryTheory.ChosenFiniteProducts.lift_snd {T X Y : C} (f : T ⟶ X) (g : T ⟶ Y) : lift f g ≫ snd _ _ = g := by
  simp [lift, snd]"
CategoryTheory.OverPresheafAux.YonedaCollection.map₁_id,9,False,30.46,forbidden_keyword,"```lean
open CategoryTheory
open OverPresheafAux
open YonedaCollection
open Category Opposite

variable {C : Type u} [Category.{v} C] {A : Cᵒᵖ ⥤ Type v}
variable {F : (CostructuredArrow yoneda A)ᵒᵖ ⥤ Type v} {X : C}

theorem CategoryTheory.OverPresheafAux.YonedaCollection.map₁_id : YonedaCollection.map₁ (𝟙 F) (X := X) = id := by
  rw YonedaCollection.map1_id [of 𝟙 F X]
  exact CategoryTheory.OverPresheafAux.YonedaCollection.map₁ (𝟙 F) (X := X)
```","theorem CategoryTheory.OverPresheafAux.YonedaCollection.map₁_id : YonedaCollection.map₁ (𝟙 F) (X := X) = id := by
  aesop_cat"
CategoryTheory.Functor.LeftExtension.IsPointwiseLeftKanExtension.hom_ext,10,False,34.44,forbidden_keyword,"```lean
import Mathlib.Logic.Equiv.Set
import Mathlib.Order.RelIso.Set
import Mathlib.Order.WellFounded
import Mathlib.Order.InitialSeg

open InitialSeg
variable {α : Type*} {β : Type*} {γ : Type*} {r : α → α → Prop} {s : β → β → Prop}
  {t : γ → γ → Prop}
open Function

theorem InitialSeg.eq [IsWellOrder β s] (f g : r ≼i s) (a) : f a = g a := by
  rw [Subsingleton.elim f g]

theorem InitialSeg.eq [IsWellOrder β s] (f g : r ≼i s) (a) : f a = g a := by
  rw [Subsingleton.elim f g]
  rw [InitialSeg.initial_segment]
  exact rfl

theorem PrincipalSeg.top_eq [IsWellOrder γ t] (e : r ≃r s) (f : r ≺i t) (g : s ≺i t) : f.top = g.top := by
  rw [Subsingleton.elim f (PrincipalSeg.equivLT e g)]; rfl

@[simps]
def coconeAtFunctor (Y : D) :
    LeftExtension L F ⥤ Cocone (CostructuredArrow.proj L Y ⋙ F) where
  obj E := E.coconeAt Y
  map {E E'} φ := CoconeMorphism.mk (φ.right.app Y) (fun G => by
    dsimp
    rw [← StructuredArrow.w φ]
    simp)

variable {E} in
lemma IsPointwiseLeftKanExtensionAt.hasPointwiseLeftKanExtensionAt
    {Y : D} (h : E.IsPointwiseLeftKanExtensionAt Y) :
    HasPointwiseLeftKanExtensionAt L F Y := ⟨_, h⟩

variable {E E'}
variable (h : E.IsPointwiseLeftKanExtension)
include h

theorem CategoryTheory.Functor.LeftExtension.IsPointwiseLeftKanExtension.hom_ext
    {G : LeftExtension L F} {f₁ f₂ : E ⟶ G} : f₁ = f₂ := by
  rw [← IsPointwiseLeftKanExtensionAt.hasPointwiseLeftKanExtensionAt h]
  exact (f₁ ≡ f₂).
```","theorem CategoryTheory.Functor.LeftExtension.IsPointwiseLeftKanExtension.hom_ext 
    {G : LeftExtension L F} {f₁ f₂ : E ⟶ G} : f₁ = f₂ := by
  ext Y
  apply (h Y).hom_ext
  intro X
  have eq₁ := congr_app (StructuredArrow.w f₁) X.left
  have eq₂ := congr_app (StructuredArrow.w f₂) X.left
  dsimp at eq₁ eq₂ ⊢
  simp only [assoc, NatTrans.naturality]
  rw [reassoc_of% eq₁, reassoc_of% eq₂]"
CategoryTheory.OverPresheafAux.counitForward_val_fst,11,False,31.92,forbidden_keyword,"```lean
import Mathlib.Logic.Equiv.Set
import Mathlib.Order.RelIso.Set
import Mathlib.Order.WellFounded
import Mathlib.Order.InitialSeg

open InitialSeg
variable {α : Type*} {β : Type*} {γ : Type*} {r : α → α → Prop} {s : β → β → Prop}
open Function

theorem InitialSeg.eq [IsWellOrder β s] (f g : r ≼i s) (a) : f a = g a := by
  - exact InitialSeg.eq [IsWellOrder β s] (f g) (a)
  - rw [Subsingleton.elim f g]

theorem InitialSeg.eq [IsWellOrder β s] (f g : r ≼i s) (a) : f a = g a := by
  rw [Subsingleton.elim f g]
  exact InitialSeg.eq [IsWellOrder β s] (f g) (a)
```","theorem CategoryTheory.OverPresheafAux.counitForward_val_fst (s : CostructuredArrow yoneda A) (x : F.obj (op s)) :
    (counitForward F s x).val.fst = s.hom := by
  simp"
